county_fips,year,market_deposits_kusd,market_branches,n_institutions
13053,2025,46494,1,1
13057,2025,5308194,41,15
13059,2025,4036333,27,16
13067,2025,28680131,142,25
13073,2025,3396989,30,15
13077,2025,2518340,24,14
13089,2025,16063710,111,25
13095,2025,2230142,19,11
13097,2025,2329603,21,13
13113,2025,3741025,24,12
13115,2025,2302065,13,8
13117,2025,7218518,55,19
13121,2025,129917315,247,46
13127,2025,2951651,28,14
13129,2025,1083534,9,8
13135,2025,24334673,167,41
13143,2025,915228,7,4
13147,2025,549795,5,5
13151,2025,3162000,35,14
13153,2025,2454079,25,12
13177,2025,421839,6,6
13185,2025,3126224,31,13
13213,2025,459481,5,4
13215,2025,8369442,31,11
13217,2025,1206192,9,8
13219,2025,1721216,13,11
13223,2025,1847245,16,11
13225,2025,323352,5,3
13227,2025,1172320,9,7
13245,2025,4356787,35,17
13247,2025,1804582,12,11
13261,2025,1001854,7,5
13275,2025,2087366,10,7
13277,2025,1312716,11,7
13285,2025,1597635,16,10
13295,2025,644374,10,7
13297,2025,1987172,17,12
13313,2025,2569123,20,10
18173,2025,1160187,16,10
21111,2025,31687819,196,29
21227,2025,3913925,52,21
24027,2025,9591310,54,17
24031,2025,55447608,222,28
28033,2025,4547363,60,19
37001,2025,2705260,28,14
37021,2025,7705109,65,21
37025,2025,3702469,35,12
37037,2025,1026798,16,9
37057,2025,2759377,25,10
37063,2025,11816824,49,14
37067,2025,10446358,80,20
37081,2025,12848093,101,21
37097,2025,4595359,41,19
37119,2025,452110338,243,36
37135,2025,3718971,25,11
37147,2025,3531444,32,13
37151,2025,2078655,23,11
37159,2025,1910687,25,13
37167,2025,1470298,17,7
37179,2025,3358508,32,12
37183,2025,98041470,241,37
45013,2025,6552016,52,20
45015,2025,2258027,30,17
45019,2025,18181110,132,33
45027,2025,476333,7,5
45035,2025,2648590,36,21
45041,2025,3472947,38,14
45045,2025,18214406,153,36
45051,2025,11970570,106,21
45055,2025,974300,11,7
45061,2025,187204,4,4
45063,2025,6400863,58,18
45077,2025,2857768,29,15
45079,2025,19014682,78,23
45083,2025,6149010,59,22
45085,2025,1187925,11,7
45091,2025,4780560,46,17
47001,2025,1340983,18,13
47003,2025,1257140,10,8
47009,2025,3037213,28,15
47011,2025,2571886,26,13
47021,2025,775155,11,5
47037,2025,57052979,214,37
47043,2025,1549613,20,9
47065,2025,12258189,95,23
47093,2025,19255796,130,31
47149,2025,7840537,75,25
47157,2025,31812053,204,33
47165,2025,5534697,55,24
47167,2025,1006120,16,11
47187,2025,14735790,105,36
47189,2025,4860063,40,17
48113,2025,286571473,571,112
51013,2025,8547418,54,24
51019,2025,1840941,21,13
51059,2025,122236244,242,39
51067,2025,1200225,14,6
51107,2025,9118572,73,19
51161,2025,2606217,25,10
51680,2025,2200896,26,13
51770,2025,3050343,31,13
51775,2025,1041508,11,9
