CERT,YEAR,UNINUMBR,STALPBR,CNTYNAMB,STCNTYBR,DEPSUMBR
35583,2025,82012,TN,Davidson,47037,0
35583,2025,360670,TN,Williamson,47187,698127
35583,2025,276635,TN,Bedford,47003,172443
35583,2025,442943,SC,Charleston,45019,116747
35583,2025,541044,SC,Charleston,45019,43582
35583,2025,568565,NC,Forsyth,37067,42970
35583,2025,55597,VA,Roanoke (City),51770,638689
35583,2025,290310,VA,Roanoke,51161,66474
35583,2025,290311,VA,Roanoke (City),51770,56099
35583,2025,290312,VA,Salem (City),51775,46114
35583,2025,361214,VA,Roanoke (City),51770,21670
35583,2025,364509,VA,Roanoke,51161,26757
35583,2025,440230,VA,Roanoke (City),51770,88
35583,2025,557535,VA,Roanoke,51161,34867
35583,2025,445631,SC,Greenville,45045,28686
35583,2025,447216,SC,Spartanburg,45083,119184
35583,2025,468534,SC,Greenville,45045,17632
35583,2025,559631,SC,Greenville,45045,59015
35583,2025,573464,SC,Pickens,45077,63058
35583,2025,276637,TN,Rutherford,47149,13434
35583,2025,61547,SC,Charleston,45019,171937
35583,2025,364149,SC,Charleston,45019,49569
35583,2025,364151,SC,Charleston,45019,30746
35583,2025,429964,SC,Dorchester,45035,103788
35583,2025,442311,SC,Berkeley,45015,27074
35583,2025,453052,SC,Dorchester,45035,18740
35583,2025,466505,SC,Charleston,45019,67256
35583,2025,276638,TN,Rutherford,47149,79984
35583,2025,581995,NC,Union,37179,138794
35583,2025,7799,NC,Guilford,37081,718382
35583,2025,226808,NC,Guilford,37081,85164
35583,2025,226810,NC,Guilford,37081,0
35583,2025,419422,NC,Guilford,37081,0
35583,2025,493995,NC,Guilford,37081,43780
35583,2025,276639,TN,Rutherford,47149,139893
35583,2025,589565,TN,Hamilton,47065,58885
35583,2025,226809,NC,Guilford,37081,76806
35583,2025,226811,NC,Guilford,37081,45802
35583,2025,590335,NC,Wake,37183,671946
35583,2025,592414,TN,Davidson,47037,13613
35583,2025,592416,TN,Shelby,47157,2101174
35583,2025,596457,NC,Mecklenburg,37119,194007
35583,2025,276640,TN,Rutherford,47149,97271
35583,2025,356490,TN,Rutherford,47149,70773
35583,2025,612658,TN,Shelby,47157,29783
35583,2025,618551,TN,Hamilton,47065,49137
35583,2025,622026,GA,Cobb,13067,0
35583,2025,624952,GA,Cobb,13067,974474
35583,2025,625133,VA,Lynchburg (City),51680,0
35583,2025,627167,TN,Rutherford,47149,0
35583,2025,627633,TN,Rutherford,47149,34462
35583,2025,628038,TN,Shelby,47157,122945
35583,2025,419556,TN,Rutherford,47149,54867
35583,2025,633282,GA,Fulton,13121,18358
35583,2025,633710,TN,Sumner,47165,245942
35583,2025,641640,NC,Mecklenburg,37119,170249
35583,2025,644882,TN,Rutherford,47149,1644622
35583,2025,461756,TN,Davidson,47037,199829
35583,2025,645967,TN,Shelby,47157,21068
35583,2025,650214,AL,Madison,1089,451823
35583,2025,650752,VA,Fairfax,51059,2140358
35583,2025,651862,AL,Jefferson,1073,482452
35583,2025,652406,TN,Davidson,47037,6101
35583,2025,653566,GA,Fulton,13121,55978
35583,2025,655276,NC,Wake,37183,52782
35583,2025,466479,TN,Knox,47093,2243706
35583,2025,656356,SC,Charleston,45019,611454
35583,2025,656983,KY,Warren,21227,172876
35583,2025,661607,TN,Davidson,47037,6771
35583,2025,662241,VA,Bedford,51019,85498
35583,2025,663157,MD,Montgomery,24031,4820
35583,2025,663731,AL,Limestone,1083,72714
35583,2025,665208,AL,Jefferson,1073,2744
35583,2025,665339,FL,Duval,12031,76748
35583,2025,665340,FL,St. Johns,12109,34
35583,2025,665363,MD,Howard,24027,55524
35583,2025,665366,NC,Wake,37183,75916
35583,2025,665472,KY,Jefferson,21111,262666
35583,2025,665618,VA,Arlington,51013,46163
35583,2025,667643,NC,Mecklenburg,37119,227
35583,2025,670807,GA,Fulton,13121,11439
35583,2025,674938,GA,Gwinnett,13135,998
35583,2025,675163,NC,Cabarrus,37025,137720
35583,2025,358590,TN,Wilson,47189,193484
