cert,year,uninum,county_fips,deposits_kusd
873,1999,186455.0,13215,54921
873,1999,186456.0,13215,3522
873,1999,186457.0,13215,65391
873,1999,186458.0,13053,0
873,1999,186470.0,13215,0
873,1999,186472.0,13215,19843
873,1999,186474.0,13053,6872
873,1999,186475.0,13215,23517
873,1999,186478.0,13215,1622
873,1999,239020.0,13193,0
873,2000,556.0,13215,937107
873,2000,5909.0,13197,24647
873,2000,10950.0,13193,39845
873,2000,186443.0,13215,31696
873,2000,186444.0,13215,52308
873,2000,186445.0,13215,116847
873,2000,186446.0,13215,34387
873,2000,186447.0,13215,43008
873,2000,186448.0,13215,32442
873,2000,186449.0,13053,22834
873,2000,186450.0,13215,46485
873,2000,186452.0,13215,20319
873,2000,186453.0,13053,0
873,2000,186455.0,13215,69638
873,2000,186456.0,13215,3538
873,2000,186457.0,13215,75159
873,2000,186458.0,13053,0
873,2000,186470.0,13215,0
873,2000,186472.0,13215,25461
873,2000,186474.0,13053,5861
873,2000,186475.0,13215,27689
873,2000,186478.0,13215,3212
873,2000,186480.0,13215,12256
873,2000,239020.0,13193,0
873,2001,556.0,13215,1278212
873,2001,186443.0,13215,33823
873,2001,186444.0,13215,59084
873,2001,186445.0,13215,42893
873,2001,186446.0,13215,36392
873,2001,186447.0,13215,35222
873,2001,186448.0,13215,31798
873,2001,186449.0,13053,27622
873,2001,186450.0,13215,57680
873,2001,186452.0,13215,22395
873,2001,186453.0,13053,0
873,2001,186455.0,13215,68759
873,2001,186457.0,13215,84397
873,2001,186458.0,13053,0
873,2001,186470.0,13215,0
873,2001,186472.0,13215,25900
873,2001,186475.0,13215,31118
873,2001,186478.0,13215,4967
873,2001,186480.0,13215,16622
873,2001,,13215,3462
873,2001,,13193,0
35583,2001,82012.0,47037,69684
35583,2001,360670.0,47187,5383
873,2002,556.0,13215,1431223
873,2002,186443.0,13215,32450
873,2002,186444.0,13215,58380
873,2002,186445.0,13215,42418
873,2002,186446.0,13215,33423
873,2002,186447.0,13215,32181
873,2002,186448.0,13215,28202
873,2002,186449.0,13053,23807
873,2002,186450.0,13215,51263
873,2002,186452.0,13215,19846
873,2002,186453.0,13053,0
873,2002,186455.0,13215,66499
873,2002,186457.0,13215,77719
873,2002,186458.0,13053,0
873,2002,186470.0,13215,0
873,2002,186472.0,13215,31335
873,2002,186475.0,13215,31423
873,2002,186478.0,13215,4932
873,2002,186480.0,13215,16642
35583,2002,82012.0,47037,154206
35583,2002,360670.0,47187,13256
35583,2002,365361.0,47037,5186
873,2003,556.0,13215,1561916
873,2003,186443.0,13215,33867
873,2003,186444.0,13215,59434
873,2003,186445.0,13215,40787
873,2003,186446.0,13215,31689
873,2003,186447.0,13215,31975
873,2003,186448.0,13215,25992
873,2003,186449.0,13053,34997
873,2003,186450.0,13215,54892
873,2003,186452.0,13215,18759
873,2003,186455.0,13215,68057
873,2003,186457.0,13215,79051
873,2003,186470.0,13215,0
873,2003,186472.0,13215,27831
873,2003,186475.0,13215,28951
873,2003,186478.0,13215,6157
873,2003,186480.0,13215,19908
873,2003,365539.0,13215,14084
35583,2003,82012.0,47037,251197
35583,2003,360670.0,47187,26416
35583,2003,365361.0,47037,18804
35583,2003,418783.0,47037,15662
873,2004,556.0,13215,1960111
873,2004,186443.0,13215,30125
873,2004,186444.0,13215,56379
873,2004,186445.0,13215,41520
873,2004,186446.0,13215,32071
873,2004,186447.0,13215,29026
873,2004,186448.0,13215,26155
873,2004,186449.0,13053,31820
873,2004,186450.0,13215,54233
873,2004,186452.0,13215,18221
873,2004,186455.0,13215,66635
873,2004,186457.0,13215,90045
873,2004,186470.0,13215,0
873,2004,186472.0,13215,26651
873,2004,186475.0,13215,36001
873,2004,186478.0,13215,5758
873,2004,186480.0,13215,21897
873,2004,365539.0,13215,19918
35583,2004,82012.0,47037,366852
35583,2004,360670.0,47187,38669
35583,2004,365361.0,47037,29836
35583,2004,418783.0,47037,26380
35583,2004,423016.0,47187,6587
873,2005,556.0,13215,2174921
873,2005,186443.0,13215,29970
873,2005,186444.0,13215,55421
873,2005,186445.0,13215,36937
873,2005,186446.0,13215,29760
873,2005,186447.0,13215,28509
873,2005,186448.0,13215,27769
873,2005,186449.0,13053,31288
873,2005,186450.0,13215,48770
873,2005,186452.0,13215,18972
873,2005,186455.0,13215,60837
873,2005,186457.0,13215,80872
873,2005,186470.0,13215,2438
873,2005,186472.0,13215,35929
873,2005,186475.0,13215,35246
873,2005,186478.0,13215,6900
873,2005,186480.0,13215,22008
873,2005,365539.0,13215,17335
35583,2005,82012.0,47037,506323
35583,2005,360670.0,47187,52890
35583,2005,365361.0,47037,41447
35583,2005,418783.0,47037,41001
35583,2005,423016.0,47187,33951
35583,2005,431720.0,47037,15559
35583,2005,438932.0,47187,1474
35583,2005,443463.0,47165,134
873,2006,556.0,13215,2110956
873,2006,186443.0,13215,27505
873,2006,186444.0,13215,46457
873,2006,186445.0,13215,36376
873,2006,186446.0,13215,30689
873,2006,186447.0,13215,23112
873,2006,186448.0,13215,27431
873,2006,186449.0,13053,39379
873,2006,186450.0,13215,43337
873,2006,186452.0,13215,20894
873,2006,186455.0,13215,53970
873,2006,186457.0,13215,67505
873,2006,186470.0,13215,5659
873,2006,186472.0,13215,19311
873,2006,186475.0,13215,34368
873,2006,186478.0,13215,7764
873,2006,186480.0,13215,22216
873,2006,365539.0,13215,18032
873,2006,453624.0,13215,0
35583,2006,42478.0,47149,365939
35583,2006,82012.0,47037,624756
35583,2006,276635.0,47003,39256
35583,2006,276636.0,47149,39488
35583,2006,276637.0,47149,19053
35583,2006,276638.0,47149,36533
35583,2006,276639.0,47149,56149
35583,2006,276640.0,47149,53803
35583,2006,356490.0,47149,28036
35583,2006,360670.0,47187,61249
35583,2006,365361.0,47037,53334
35583,2006,418783.0,47037,63885
35583,2006,419556.0,47149,16309
35583,2006,423016.0,47187,47893
35583,2006,431720.0,47037,30976
35583,2006,438932.0,47187,5871
35583,2006,443463.0,47165,20024
873,2007,556.0,13215,2349161
873,2007,186443.0,13215,28443
873,2007,186444.0,13215,47094
873,2007,186445.0,13215,37640
873,2007,186446.0,13215,33363
873,2007,186447.0,13215,26235
873,2007,186448.0,13215,30080
873,2007,186449.0,13053,51287
873,2007,186450.0,13215,52032
873,2007,186452.0,13215,21971
873,2007,186455.0,13215,55830
873,2007,186457.0,13215,71888
873,2007,186470.0,13215,7578
873,2007,186472.0,13215,17781
873,2007,186475.0,13215,38529
873,2007,186478.0,13215,8731
873,2007,186480.0,13215,25684
873,2007,365539.0,13215,18128
873,2007,453624.0,13215,0
35583,2007,42478.0,47149,482730
35583,2007,82012.0,47037,649594
35583,2007,276635.0,47003,44018
35583,2007,276636.0,47149,28816
35583,2007,276637.0,47149,12041
35583,2007,276638.0,47149,27421
35583,2007,276639.0,47149,47981
35583,2007,276640.0,47149,51244
35583,2007,356490.0,47149,24186
35583,2007,360670.0,47187,74216
35583,2007,365361.0,47037,57959
35583,2007,418783.0,47037,80672
35583,2007,419556.0,47149,17785
35583,2007,423016.0,47187,98905
35583,2007,431720.0,47037,26631
35583,2007,438932.0,47187,22977
35583,2007,443463.0,47165,60092
35583,2007,461756.0,47037,4195
35583,2007,466479.0,47093,3193
873,2008,556.0,13215,2245793
873,2008,186443.0,13215,26992
873,2008,186444.0,13215,47251
