CERT,YEAR,UNINUMBR,STALPBR,CNTYNAMB,STCNTYBR,DEPSUMBR
873,2025,458099,FL,Sarasota,12115,42232
873,2025,468421,FL,Pinellas,12103,147314
873,2025,470767,FL,Pasco,12101,32372
873,2025,463126,FL,Sarasota,12115,55697
873,2025,265823,GA,Glynn,13127,70701
873,2025,453009,GA,Glynn,13127,146968
873,2025,491166,GA,Glynn,13127,51899
873,2025,1390,SC,Sumter,45085,200938
873,2025,191332,SC,Richland,45079,913873
873,2025,191333,SC,Clarendon,45027,111499
873,2025,191335,SC,Lee,45061,112271
873,2025,191336,SC,Richland,45079,104298
873,2025,191340,SC,Sumter,45085,190053
873,2025,11077,SC,Horry,45051,59062
873,2025,239927,SC,Horry,45051,228427
873,2025,253156,SC,Berkeley,45015,165921
873,2025,191342,SC,Dorchester,45035,27609
873,2025,191345,SC,Lexington,45063,120230
873,2025,191348,SC,Kershaw,45055,109073
873,2025,45016,SC,Charleston,45019,501029
873,2025,191350,SC,Beaufort,45013,49600
873,2025,191351,SC,Lexington,45063,90445
873,2025,191354,SC,Greenville,45045,33504
873,2025,191355,SC,Greenville,45045,256341
873,2025,191356,SC,Florence,45041,95887
873,2025,262374,SC,Richland,45079,93455
873,2025,262375,SC,Richland,45079,51606
873,2025,191358,SC,Horry,45051,111451
873,2025,191361,SC,Charleston,45019,91750
873,2025,191363,SC,Charleston,45019,30058
873,2025,334459,SC,Beaufort,45013,54601
873,2025,186470,GA,Muscogee,13215,137965
873,2025,334460,SC,Lexington,45063,60720
873,2025,357424,SC,Berkeley,45015,46405
873,2025,40260,SC,Spartanburg,45083,161169
873,2025,419619,SC,Charleston,45019,0
873,2025,469120,SC,Richland,45079,64850
873,2025,493272,SC,Charleston,45019,62443
873,2025,253659,FL,Leon,12073,121379
873,2025,253660,FL,Leon,12073,147617
873,2025,468530,FL,Leon,12073,42236
873,2025,288949,TN,Davidson,47037,37325
873,2025,288950,TN,Williamson,47187,46520
873,2025,512005,GA,Muscogee,13215,115405
873,2025,526389,GA,Camden,13039,87901
873,2025,569314,TN,Davidson,47037,201457
873,2025,573176,FL,Sarasota,12115,204158
873,2025,577678,FL,Duval,12031,77457
873,2025,591421,GA,Cobb,13067,7888503
873,2025,186475,GA,Muscogee,13215,154859
873,2025,602981,GA,Thomas,13275,0
873,2025,604845,GA,Bibb,13021,105385
873,2025,446265,FL,Miami-Dade,12086,47509
873,2025,497944,FL,Miami-Dade,12086,282463
873,2025,3858,FL,Collier,12021,80248
873,2025,15122,FL,Lee,12071,90665
873,2025,12618,FL,Hendry,12051,99853
873,2025,207975,FL,Charlotte,12015,71475
873,2025,361343,FL,Lee,12071,196647
873,2025,362620,FL,Charlotte,12015,121161
873,2025,442372,FL,Lee,12071,42875
873,2025,35262,FL,Charlotte,12015,87976
873,2025,259693,FL,Sarasota,12115,42652
873,2025,259695,FL,Miami-Dade,12086,127829
873,2025,259696,FL,Broward,12011,100370
873,2025,363099,FL,Palm Beach,12099,51580
873,2025,439425,FL,Palm Beach,12099,485775
873,2025,489871,FL,Palm Beach,12099,36627
873,2025,512925,FL,Lee,12071,53499
873,2025,80562,FL,Volusia,12127,131042
873,2025,472091,FL,Volusia,12127,88316
873,2025,32715,FL,Orange,12095,564325
873,2025,258854,FL,Seminole,12117,215446
873,2025,360604,FL,Orange,12095,98003
873,2025,476597,FL,Orange,12095,193099
873,2025,186478,GA,Chattahoochee,13053,46494
873,2025,419128,FL,Brevard,12009,81298
873,2025,521338,FL,Collier,12021,135285
873,2025,521339,FL,Collier,12021,353775
873,2025,61932,FL,St. Lucie,12111,87186
873,2025,425155,FL,Martin,12085,144710
873,2025,429729,FL,St. Lucie,12111,50048
873,2025,450393,FL,Indian River,12061,46162
873,2025,423008,FL,Miami-Dade,12086,188663
873,2025,450331,FL,Miami-Dade,12086,115385
873,2025,451781,FL,Miami-Dade,12086,58671
873,2025,580607,FL,Broward,12011,85520
873,2025,186480,GA,Muscogee,13215,68958
873,2025,362926,FL,Broward,12011,82466
873,2025,511425,FL,Palm Beach,12099,43989
873,2025,581611,FL,Palm Beach,12099,32036
873,2025,616800,FL,Seminole,12117,26658
873,2025,617347,FL,Broward,12011,17162
873,2025,621540,GA,Cobb,13067,26674
873,2025,625247,FL,Hillsborough,12057,364089
873,2025,625381,FL,Orange,12095,24222
873,2025,629148,GA,Fulton,13121,13855
873,2025,633007,FL,Leon,12073,40251
873,2025,641605,FL,Palm Beach,12099,106519
873,2025,641623,AL,Mobile,1097,73519
873,2025,646422,FL,Broward,12011,74734
873,2025,365539,GA,Muscogee,13215,104244
873,2025,650171,GA,Bibb,13021,23847
873,2025,652190,FL,Broward,12011,1019310
873,2025,657708,FL,Hillsborough,12057,96687
873,2025,665624,AL,Jefferson,1073,638
873,2025,672980,GA,Muscogee,13215,4221214
873,2025,677127,GA,Muscogee,13215,0
873,2025,453624,GA,Muscogee,13215,0
873,2025,41059,GA,Clarke,13059,626032
873,2025,265737,GA,Clarke,13059,174513
873,2025,265738,GA,Clarke,13059,178766
873,2025,265739,GA,Hart,13147,156021
873,2025,265745,GA,Clarke,13059,146545
873,2025,32828,GA,Oconee,13219,225216
873,2025,423492,GA,Gwinnett,13135,52516
873,2025,453007,GA,Richmond,13245,77216
873,2025,461000,GA,Oconee,13219,49838
873,2025,462467,GA,Columbia,13073,257406
873,2025,8776,GA,Walton,13297,479469
873,2025,230860,GA,Walton,13297,147668
873,2025,14388,GA,Coweta,13077,243549
873,2025,251743,GA,Coweta,13077,63079
873,2025,251745,GA,Coweta,13077,59202
873,2025,44037,GA,Fulton,13121,675554
873,2025,283802,GA,Pickens,13227,57192
873,2025,283804,GA,Cherokee,13057,331656
873,2025,283805,GA,Cherokee,13057,283335
873,2025,283806,GA,Fulton,13121,162995
873,2025,283807,GA,Fulton,13121,92107
873,2025,360057,GA,Gwinnett,13135,110876
873,2025,360058,GA,Forsyth,13117,136791
873,2025,39561,GA,DeKalb,13089,259406
873,2025,261722,GA,Gwinnett,13135,62404
873,2025,39934,GA,Cobb,13067,189205
873,2025,36353,GA,Cobb,13067,146886
873,2025,365237,GA,Cobb,13067,206409
873,2025,365238,GA,Fulton,13121,295493
873,2025,450832,GA,Gwinnett,13135,85602
873,2025,35980,GA,Fayette,13113,219204
873,2025,360506,GA,Fayette,13113,101910
873,2025,246673,GA,Newton,13217,227783
