CERT,YEAR,UNINUMBR,STALPBR,CNTYNAMB,STCNTYBR,DEPSUMBR
873,2025,556,GA,Muscogee,13215,0
873,2025,246678,GA,Henry,13151,52846
873,2025,457585,GA,Rockdale,13247,166997
873,2025,469487,GA,Fulton,13121,155333
873,2025,472659,GA,Forsyth,13117,51473
873,2025,238406,GA,Carroll,13045,141622
873,2025,238407,GA,Carroll,13045,55430
873,2025,13972,GA,Haralson,13143,95819
873,2025,238828,GA,Haralson,13143,96490
873,2025,14341,GA,Carroll,13045,247621
873,2025,38655,GA,Douglas,13097,252818
873,2025,429522,GA,Paulding,13223,68036
873,2025,470781,GA,Douglas,13097,57945
873,2025,483146,GA,DeKalb,13089,81030
873,2025,39112,AL,Tuscaloosa,1125,402650
873,2025,261396,AL,Tuscaloosa,1125,61588
873,2025,424734,AL,Tuscaloosa,1125,89075
873,2025,42500,GA,Houston,13153,173768
873,2025,258218,GA,Houston,13153,147389
873,2025,258219,GA,Houston,13153,225664
873,2025,6435,GA,Peach,13225,149984
873,2025,5793,AL,Russell,1113,276720
873,2025,359747,AL,Russell,1113,72853
873,2025,40631,GA,Floyd,13115,274118
873,2025,14390,FL,Escambia,12033,599557
873,2025,251778,FL,Escambia,12033,55559
873,2025,290940,FL,Escambia,12033,107171
873,2025,256753,FL,Escambia,12033,120253
873,2025,256756,FL,Santa Rosa,12113,84436
873,2025,186457,GA,Muscogee,13215,245412
873,2025,365352,FL,Santa Rosa,12113,64380
873,2025,478320,FL,Santa Rosa,12113,55560
873,2025,224313,FL,Okaloosa,12091,250863
873,2025,224315,FL,Okaloosa,12091,104035
873,2025,224319,FL,Okaloosa,12091,81299
873,2025,39022,FL,Okaloosa,12091,241920
873,2025,261321,FL,Okaloosa,12091,128408
873,2025,430466,TN,Hamilton,47065,100349
873,2025,7450,GA,Murray,13213,133711
873,2025,14409,GA,Walker,13295,68349
873,2025,361774,GA,Whitfield,13313,121315
873,2025,152,GA,Thomas,13275,166725
873,2025,181337,GA,Thomas,13275,136288
873,2025,10088,GA,Troup,13285,318556
873,2025,235643,GA,Troup,13285,109412
873,2025,13448,AL,Houston,1069,189383
873,2025,249633,AL,Dale,1045,113704
873,2025,249140,AL,Coffee,1031,308270
873,2025,469477,AL,Baldwin,1003,35278
873,2025,9925,GA,Tift,13277,410265
873,2025,38680,FL,Nassau,12089,97622
873,2025,260774,FL,Nassau,12089,58932
873,2025,32917,AL,Jefferson,1073,2639681
873,2025,186444,GA,Muscogee,13215,255641
873,2025,259222,AL,Jefferson,1073,46254
873,2025,259224,AL,Jefferson,1073,88650
873,2025,259225,AL,Jefferson,1073,143269
873,2025,259226,AL,Shelby,1117,49580
873,2025,47722,AL,Jefferson,1073,44960
873,2025,259228,AL,Shelby,1117,61852
873,2025,259229,AL,Jefferson,1073,0
873,2025,361471,AL,Jefferson,1073,80164
873,2025,17550,AL,Madison,1089,513661
873,2025,258098,AL,Madison,1089,326222
873,2025,357169,AL,Madison,1089,92061
873,2025,419751,AL,Madison,1089,55318
873,2025,1834,AL,Walker,1127,294990
873,2025,1139,AL,Walker,1127,108373
873,2025,194367,AL,Walker,1127,66802
873,2025,6441,GA,Lowndes,13185,390910
873,2025,221790,GA,Lowndes,13185,76213
873,2025,221793,GA,Lowndes,13185,89206
873,2025,39007,GA,Gordon,13129,341389
873,2025,453324,GA,Bartow,13015,127565
873,2025,250567,GA,Dougherty,13095,0
873,2025,250569,GA,Dougherty,13095,147504
873,2025,483138,GA,Lee,13177,203867
873,2025,15103,GA,Sumter,13261,190396
873,2025,361469,GA,Sumter,13261,0
873,2025,3889,GA,Bulloch,13031,574478
873,2025,208049,GA,Bulloch,13031,110855
873,2025,364306,GA,Candler,13043,122400
873,2025,432098,GA,Chatham,13051,354014
873,2025,453414,GA,Chatham,13051,48950
873,2025,461369,GA,Bulloch,13031,124185
873,2025,461371,GA,Chatham,13051,49866
873,2025,14656,AL,Montgomery,1101,747988
873,2025,252431,AL,Montgomery,1101,94162
873,2025,252432,AL,Autauga,1001,39675
873,2025,467238,FL,Duval,12031,55351
873,2025,479948,FL,Duval,12031,438250
873,2025,290425,FL,Pasco,12101,73119
873,2025,290426,FL,Pinellas,12103,154490
873,2025,364136,FL,Pinellas,12103,41810
873,2025,366302,FL,Manatee,12081,34235
873,2025,255835,FL,Pinellas,12103,118348
873,2025,255838,FL,Pinellas,12103,101898
873,2025,255839,FL,Pinellas,12103,99750
873,2025,444096,FL,Pinellas,12103,81278
873,2025,453006,FL,Hillsborough,12057,940449
873,2025,454248,FL,Hillsborough,12057,31151
873,2025,456594,FL,Manatee,12081,62324
873,2025,457908,FL,Pasco,12101,74412
