year,state,county_name,county_fips,deposits_kusd,address,city
2025,TN,Shelby,47157,73793,1264 S Germantown Rd,Germantown
2025,TN,Shelby,47157,57591,4445 Poplar Ave,Memphis
2025,TN,Shelby,47157,61780,9057 Poplar Ave,Germantown
2025,TN,Davidson,47037,13659117,"25 Platform Way S, Ste 100",Nashville
2025,TN,Davidson,47037,180146,3823 Cleghorn Ave,Nashville
2025,TN,Blount,47009,251856,837 W Lamar Alexander Pkwy,Maryville
2025,TN,Williamson,47187,263020,216 S Royal Oaks Blvd,Franklin
2025,NC,Davidson,37057,270995,831 Julian Ave,Thomasville
2025,NC,Randolph,37151,123611,113 Trindale Rd,Archdale
2025,NC,Davidson,37057,176820,115 E Center St,Lexington
2025,NC,Forsyth,37067,505334,211 Broad St,Kernersville
2025,NC,Cabarrus,37025,87600,"4351 Main St, Ste 105",Harrisburg
2025,NC,Rowan,37159,87735,415 Jake Alexander Blvd W,Salisbury
2025,NC,Davidson,37057,70553,6355 Old Us Highway 52,Lexington
2025,NC,Guilford,37081,491340,707 Green Valley Rd,Greensboro
2025,NC,Forsyth,37067,43849,1810 N Peace Haven Rd,Winston Salem
2025,NC,Guilford,37081,132144,2630 Eastchester Dr,High Point
2025,NC,Cabarrus,37025,0,271 Copperfield Blvd Ne,Concord
2025,SC,Horry,45051,320648,"3751 Robert M Grissom Pkwy, Ste 100",Myrtle Beach
2025,SC,Horry,45051,43175,3064 Dick Pond Rd,Myrtle Beach
2025,SC,Horry,45051,112609,710 Highway 17 N,North Myrtle Beach
2025,SC,Beaufort,45013,63487,1000 William Hilton Pkwy,Hilton Head Island
2025,NC,Wake,37183,42604,4525 Falls Of Neuse Rd,Raleigh
2025,NC,Mecklenburg,37119,593580,5980 Fairview Rd,Charlotte
2025,SC,Greenville,45045,232807,550 E Mcbee Ave,Greenville
2025,TN,Sumner,47165,270838,270 E Main St,Hendersonville
2025,NC,Guilford,37081,110765,2201 N Elm St,Greensboro
2025,NC,Durham,37063,130725,"280 S Mangum St, Ste 140",Durham
2025,NC,Wake,37183,55835,4725 Sw Cary Pkwy,Cary
2025,NC,Mecklenburg,37119,323438,1420 E 3rd St,Charlotte
2025,NC,Iredell,37097,252503,"108 Gateway Blvd, Ste 101",Mooresville
2025,NC,Buncombe,37021,62425,1999 Hendersonville Rd,Asheville
2025,NC,Randolph,37151,225572,175 N Fayetteville St,Asheboro
2025,NC,Randolph,37151,91449,854 E Dixie Dr,Asheboro
2025,TN,Rutherford,47149,0,114 W College St,Murfreesboro
2025,NC,Alamance,37001,143305,3239 S Church St,Burlington
2025,NC,Wake,37183,29243,2312 Bridgeport Dr,Raleigh
2025,NC,Stanly,37167,140646,103 N 2nd St,Albemarle
2025,NC,Stanly,37167,94289,102 South Street,Locust
2025,NC,Chatham,37037,125665,5925 Farrington Rd,Chapel Hill
2025,NC,Orange,37135,69379,1203 Martin Luther King Jr Blvd,Chapel Hill
