CERT,YEAR,UNINUMBR,STALPBR,CNTYNAMB,STCNTYBR,DEPSUMBR
873,2020,556,GA,Muscogee,13215,7672011
873,2020,246678,GA,Henry,13151,46076
873,2020,457585,GA,Rockdale,13247,417144
873,2020,469487,GA,Fulton,13121,176921
873,2020,472659,GA,Forsyth,13117,51533
873,2020,238406,GA,Carroll,13045,73622
873,2020,238407,GA,Carroll,13045,51264
873,2020,13972,GA,Haralson,13143,64738
873,2020,238828,GA,Haralson,13143,70102
873,2020,14341,GA,Carroll,13045,81736
873,2020,39157,GA,Carroll,13045,176365
873,2020,38655,GA,Douglas,13097,309473
873,2020,429522,GA,Paulding,13223,74410
873,2020,470781,GA,Douglas,13097,83844
873,2020,483146,GA,Dekalb,13089,47763
873,2020,39112,AL,Tuscaloosa,1125,288661
873,2020,261396,AL,Tuscaloosa,1125,62509
873,2020,294957,AL,Tuscaloosa,1125,42430
873,2020,424734,AL,Tuscaloosa,1125,72783
873,2020,428133,AL,Tuscaloosa,1125,50933
873,2020,42500,GA,Houston,13153,92764
873,2020,258218,GA,Houston,13153,123042
873,2020,186455,GA,Muscogee,13215,122087
873,2020,258219,GA,Houston,13153,160740
873,2020,6435,GA,Peach,13225,98157
873,2020,221771,GA,Peach,13225,41589
873,2020,5793,AL,Russell,1113,166230
873,2020,219355,AL,Russell,1113,40739
873,2020,359747,AL,Russell,1113,47874
873,2020,40631,GA,Floyd,13115,316205
873,2020,263471,GA,Floyd,13115,37049
873,2020,14390,FL,Escambia,12033,366716
873,2020,251778,FL,Escambia,12033,52180
873,2020,290940,FL,Escambia,12033,82270
873,2020,256753,FL,Escambia,12033,120772
873,2020,256756,FL,Santa Rosa,12113,82588
873,2020,186457,GA,Muscogee,13215,138299
873,2020,365352,FL,Santa Rosa,12113,42494
873,2020,428134,FL,Escambia,12033,52247
873,2020,478320,FL,Santa Rosa,12113,51504
873,2020,7204,FL,Okaloosa,12091,90152
873,2020,224313,FL,Okaloosa,12091,107583
873,2020,224314,FL,Okaloosa,12091,65294
873,2020,224315,FL,Okaloosa,12091,99511
873,2020,224319,FL,Okaloosa,12091,85576
873,2020,39022,FL,Okaloosa,12091,104441
873,2020,261321,FL,Okaloosa,12091,92360
873,2020,428000,FL,Okaloosa,12091,30789
873,2020,430466,TN,Hamilton,47065,89147
873,2020,466297,TN,Hamilton,47065,31533
873,2020,7450,GA,Murray,13213,124828
873,2020,14409,GA,Walker,13295,69998
873,2020,361774,GA,Whitfield,13313,122825
873,2020,152,GA,Thomas,13275,181107
873,2020,10706,GA,Thomas,13275,45208
873,2020,181337,GA,Thomas,13275,66953
873,2020,10088,GA,Troup,13285,193551
873,2020,235641,GA,Troup,13285,46886
873,2020,235643,GA,Troup,13285,87151
873,2020,13448,AL,Houston,1069,164194
873,2020,249633,AL,Dale,1045,85064
873,2020,249140,AL,Coffee,1031,175349
873,2020,469477,AL,Baldwin,1003,62992
873,2020,482381,AL,Mobile,1097,15420
873,2020,9925,GA,Tift,13277,347720
873,2020,234764,GA,Tift,13277,43089
873,2020,38680,FL,Nassau,12089,102699
873,2020,260774,FL,Nassau,12089,59633
873,2020,32917,AL,Jefferson,1073,1594666
873,2020,186444,GA,Muscogee,13215,111420
873,2020,259222,AL,Jefferson,1073,53203
873,2020,259223,AL,Jefferson,1073,40296
873,2020,259224,AL,Jefferson,1073,65469
873,2020,259225,AL,Jefferson,1073,146281
873,2020,259226,AL,Shelby,1117,47224
873,2020,47722,AL,Jefferson,1073,46053
873,2020,259228,AL,Shelby,1117,41186
873,2020,259229,AL,Jefferson,1073,0
873,2020,361471,AL,Jefferson,1073,53665
873,2020,17550,AL,Madison,1089,402804
873,2020,258098,AL,Madison,1089,129695
873,2020,357169,AL,Madison,1089,141127
873,2020,419751,AL,Madison,1089,88497
873,2020,458821,AL,Madison,1089,146289
873,2020,1834,AL,Walker,1127,282827
873,2020,194362,AL,Walker,1127,76056
873,2020,1139,AL,Walker,1127,85509
873,2020,194367,AL,Walker,1127,46607
873,2020,6441,GA,Lowndes,13185,434896
873,2020,221790,GA,Lowndes,13185,51882
873,2020,221793,GA,Lowndes,13185,63685
873,2020,363719,GA,Lowndes,13185,49999
873,2020,39007,GA,Gordon,13129,312460
873,2020,261312,GA,Gordon,13129,40640
873,2020,453324,GA,Bartow,13015,89312
873,2020,250567,GA,Dougherty,13095,32440
873,2020,250569,GA,Dougherty,13095,77719
873,2020,250570,GA,Lee,13177,27251
873,2020,483138,GA,Lee,13177,214127
873,2020,15103,GA,Sumter,13261,177585
873,2020,361469,GA,Sumter,13261,0
873,2020,3889,GA,Bulloch,13031,338792
873,2020,208049,GA,Bulloch,13031,81845
873,2020,364306,GA,Candler,13043,92911
